Importers,Value_exported_2023,Trade_balance 2023,Quantity_exported_2023,Quantity_unit,Growth_export_value_2019_2023,Growth_export_quantity_2019_2023
World,898583,872441,687561,Tons,10,-1
Guatemala,178703,178538,117464,Tons,21,10
Chile,100124,100028,61535,Tons,14,5
Honduras,83517,83223,46348,Tons,12,2
Canada,45691,43758,85171,Tons,3,-6
India,42739,41383,72168,Tons,6,-7
Mexico,40389,40333,27632,Tons,25,5
Ukraine,37324,37323,3312,Tons,0,-6
El Salvador,37244,37244,24460,Tons,14,7
Nicaragua,33483,33420,25287,Tons,15,-1
Japan,30450,29833,2486,Tons,21,8
Dominican Republic,28565,28496,35166,Tons,5,-6
Pakistan,24804,10666,44109,Tons,10,6
Lebanon,14495,14495,1259,Tons,10,16
United Arab Emirates,12239,11395,13484,Tons,-14,-19
Costa Rica,11963,11961,12158,Tons,19,22
France,10632,9226,246,Tons,34,3
Poland,10022,9728,3926,Tons,17,19
Philippines,9364,9359,15142,Tons,12,10
Panama,9256,9241,4269,Tons,25,19
Senegal,9062,9062,9058,Tons,8,6
Venezuela,8974,8974,481,Tons,97,19
Lithuania,8110,8108,1103,Tons,19,14
Liberia,7883,7883,8964,Tons,-1,1
Congo,5855,5855,9726,Tons,-11,-8
Italy,5729,5330,597,Tons,20,-3
Ghana,5542,5542,3914,Tons,10,4
Côte d'Ivoire,4929,4929,1182,Tons,15,8
Georgia,4089,4089,369,Tons,3,4
United Kingdom,3780,2712,500,Tons,-13,-1
New Zealand,3546,3461,66,Tons,51,31
Jordan,3505,3503,3364,Tons,-1,4
Tunisia,3392,3392,6663,Tons,-5,-9
Kenya,3299,3298,3833,Tons,-18,-15
Tanzania,3274,3274,5069,Tons,-9,-5
Angola,2988,2988,4348,Tons,-15,-12
Thailand,2976,2913,2284,Tons,9,-10
Guinea,2753,2753,3712,Tons,-6,-6
Australia,2676,2504,375,Tons,10,25
China,2503,1658,1799,Tons,113,97
Belize,2235,2235,1280,Tons,-2,12
Haiti,1983,1983,1112,Tons,17,10
Mauritania,1945,1945,1217,Tons,9,14
Malaysia,1944,1944,3120,Tons,-21,-30
Colombia,1935,1927,1103,Tons,92,71
Nigeria,1668,1639,1571,Tons,-16,-1
Bulgaria,1567,1558,657,Tons,-21,-31
Cambodia,1556,1546,868,Tons,-7,-16
Sierra Leone,1555,1555,641,Tons,-9,-19
Germany,1389,671,244,Tons,-25,-38
Türkiye,1363,1323,825,Tons,-7,-19
Spain,1323,1221,231,Tons,13,-7
Uzbekistan,1176,1176,45,Tons,365,54
Mozambique,1111,1111,639,Tons,-11,-21
Iraq,1094,1094,708,Tons,19,24
Slovakia,1023,1021,690,Tons,9,41
Togo,771,771,867,Tons,14,-3
Madagascar,763,763,751,Tons,-9,-6
Netherlands,672,551,240,Tons,38,39
Hong Kong,653,653,24,Tons,47,7
Uganda,637,637,745,Tons,-18,-18
Gambia,557,557,377,Tons,5,1
Czech Republic,544,493,63,Tons,55,25
Samoa,541,541,385,Tons,68,45
Zambia,537,536,519,Tons,-16,-21
Estonia,526,525,316,Tons,16,11
Yemen,523,523,195,Tons,51,85
Belgium,489,436,55,Tons,10,25
Niger,479,479,359,Tons,-20,-21
Mali,478,478,830,Tons,-10,-18
Ecuador,476,476,62,Tons,63,115
Congo,391,391,632,Tons,-15,-14
Korea,391,368,59,Tons,8,-8
Israel,371,361,32,Tons,-1,-14
Argentina,363,351,27,Tons,197,92
Namibia,348,348,18,Tons,102,-4
Qatar,319,319,36,Tons,32,145
Albania,306,306,62,Tons,10,-4
Romania,304,287,119,Tons,-7,-29
Bolivia,274,274,154,Tons,-8,4
Taipei,269,263,5,Tons,67,-43
Greece,263,203,23,Tons,84,-5
Singapore,254,254,44,Tons,156,29
Kyrgyzstan,254,254,71,Tons,27,-4
Kazakhstan,249,249,191,Tons,94,36
Micronesia,232,232,99,Tons,16,9
Portugal,231,104,41,Tons,4,-37
Switzerland,205,149,9,Tons,55,55
Malawi,203,203,313,Tons,-14,-12
Jamaica,191,188,158,Tons,3,-2
Latvia,168,168,41,Tons,10,17
Cameroon,149,149,126,Tons,-15,-17
Oman,148,148,49,Tons,0,44
Saudi Arabia,146,144,23,Tons,-11,-4
Viet Nam,144,107,9,Tons,185,
Brazil,133,107,49,Tons,45,41
Morocco,132,132,37,Tons,46,57
Burkina Faso,130,130,277,Tons,-18,-20
Austria,123,54,9,Tons,89,119
South Africa,122,45,151,Tons,14,-5
Cabo Verde,113,113,52,Tons,,24
Norway,113,111,10,Tons,-12,-4
Libya,110,110,10,Tons,-8,-16
Indonesia,107,98,8,Tons,,
Benin,104,104,72,Tons,-54,-57
Sweden,103,82,13,Tons,20,43
Serbia,102,85,11,Tons,86,16
Turks and Caicos Islands,100,99,41,Tons,55,107
Paraguay,92,92,24,Tons,-13,-10
Curaçao,90,90,25,Tons,,
Somalia,89,89,59,Tons,-21,-13
Solomon Islands,86,86,31,Tons,12,3
Hungary,85,-131,44,Tons,116,53
Ireland,82,51,15,Tons,126,53
Montenegro,77,77,45,Tons,27,18
Kuwait,76,76,4,Tons,21,28
Moldova,72,72,48,Tons,44,95
Denmark,68,60,23,Tons,-12,-2
Trinidad and Tobago,65,63,40,Tons,-9,-11
Bosnia and Herzegovina,60,60,46,Tons,,
Gabon,59,59,46,Tons,-17,-29
Eritrea,57,57,56,Tons,10,10
Sri Lanka,43,41,0,Tons,-10,
Sudan,39,39,48,Tons,-1,4
Barbados,36,36,6,Tons,,
Vanuatu,34,34,7,Tons,-2,-16
Bahrain,34,34,1,Tons,,
Aruba,34,34,1,Tons,135,0
Bahamas,27,27,2,Tons,92,
Burundi,25,25,18,Tons,-32,-38
Mongolia,25,25,12,Tons,9,5
Russian Federation,25,25,12,Tons,-76,-55
Azerbaijan,23,23,2,Tons,,-52
Saint Lucia,20,20,7,Tons,,
Uruguay,18,18,25,Tons,56,14
Eswatini,15,15,5,Tons,,
Luxembourg,14,14,1,Tons,,
Finland,14,14,10,Tons,-44,45
Egypt,12,2,12,Tons,-14,4
Croatia,10,9,1,Tons,,
British Indian Ocean Territory,8,8,21,Tons,,
Peru,5,4,3,Tons,-12,0
Bangladesh,5,-75,1,Tons,,
Papua New Guinea,4,4,3,Tons,-38,-41
Malta,4,-1,8,Tons,,
Dominica,3,3,0,Tons,,
Armenia,3,2,0,Tons,,
