Month,Shein,Thrift,Search_Type
2004-01,0,8,Web
2004-02,0,8,Web
2004-03,0,8,Web
2004-04,0,8,Web
2004-05,0,8,Web
2004-06,0,9,Web
2004-07,0,9,Web
2004-08,0,9,Web
2004-09,0,8,Web
2004-10,0,10,Web
2004-11,0,8,Web
2004-12,0,8,Web
2005-01,0,8,Web
2005-02,0,9,Web
2005-03,0,9,Web
2005-04,0,9,Web
2005-05,0,8,Web
2005-06,0,9,Web
2005-07,0,9,Web
2005-08,0,10,Web
2005-09,0,9,Web
2005-10,0,10,Web
2005-11,0,8,Web
2005-12,0,8,Web
2006-01,0,9,Web
2006-02,0,8,Web
2006-03,0,8,Web
2006-04,0,9,Web
2006-05,0,7,Web
2006-06,0,8,Web
2006-07,0,9,Web
2006-08,0,10,Web
2006-09,0,8,Web
2006-10,0,10,Web
2006-11,0,7,Web
2006-12,0,8,Web
2007-01,0,8,Web
2007-02,0,8,Web
2007-03,0,8,Web
2007-04,0,8,Web
2007-05,0,8,Web
2007-06,0,8,Web
2007-07,0,9,Web
2007-08,0,9,Web
2007-09,0,8,Web
2007-10,0,10,Web
2007-11,0,8,Web
2007-12,0,7,Web
2008-01,0,8,Web
2008-02,0,8,Web
2008-03,0,8,Web
2008-04,0,8,Web
2008-05,0,8,Web
2008-06,0,8,Web
2008-07,0,9,Web
2008-08,0,9,Web
2008-09,0,10,Web
2008-10,0,12,Web
2008-11,0,9,Web
2008-12,0,9,Web
2009-01,0,9,Web
2009-02,0,9,Web
2009-03,0,9,Web
2009-04,0,8,Web
2009-05,0,8,Web
2009-06,0,9,Web
2009-07,0,10,Web
2009-08,0,10,Web
2009-09,0,9,Web
2009-10,0,12,Web
2009-11,0,8,Web
2009-12,0,9,Web
2010-01,0,9,Web
2010-02,0,9,Web
2010-03,0,10,Web
2010-04,0,10,Web
2010-05,0,9,Web
2010-06,0,9,Web
2010-07,0,10,Web
2010-08,0,11,Web
2010-09,0,10,Web
2010-10,0,13,Web
2010-11,0,9,Web
2010-12,0,10,Web
2011-01,0,12,Web
2011-02,0,12,Web
2011-03,0,12,Web
2011-04,0,11,Web
2011-05,0,11,Web
2011-06,0,13,Web
2011-07,0,14,Web
2011-08,0,15,Web
2011-09,0,14,Web
2011-10,0,16,Web
2011-11,0,13,Web
2011-12,0,13,Web
2012-01,0,13,Web
2012-02,0,14,Web
2012-03,0,14,Web
2012-04,0,13,Web
2012-05,0,14,Web
2012-06,0,15,Web
2012-07,0,16,Web
2012-08,0,16,Web
2012-09,0,18,Web
2012-10,0,20,Web
2012-11,0,21,Web
2012-12,0,27,Web
2013-01,0,43,Web
2013-02,0,59,Web
2013-03,0,57,Web
2013-04,0,42,Web
2013-05,0,34,Web
2013-06,0,29,Web
2013-07,0,26,Web
2013-08,0,24,Web
2013-09,0,20,Web
2013-10,0,21,Web
2013-11,0,18,Web
2013-12,0,17,Web
2014-01,0,18,Web
2014-02,0,17,Web
2014-03,0,17,Web
2014-04,0,16,Web
2014-05,0,17,Web
2014-06,0,17,Web
2014-07,0,18,Web
2014-08,0,17,Web
2014-09,0,16,Web
2014-10,0,18,Web
2014-11,0,15,Web
2014-12,0,16,Web
2015-01,0,15,Web
2015-02,0,15,Web
2015-03,0,16,Web
2015-04,0,15,Web
2015-05,0,16,Web
2015-06,0,16,Web
2015-07,1,19,Web
2015-08,1,19,Web
2015-09,1,16,Web
2015-10,1,19,Web
2015-11,1,16,Web
2015-12,1,14,Web
2016-01,1,17,Web
2016-02,1,17,Web
2016-03,1,19,Web
2016-04,1,19,Web
2016-05,1,18,Web
2016-06,2,19,Web
2016-07,2,22,Web
2016-08,2,20,Web
2016-09,2,19,Web
2016-10,3,21,Web
2016-11,3,17,Web
2016-12,2,17,Web
2017-01,2,18,Web
2017-02,2,19,Web
2017-03,3,20,Web
2017-04,3,20,Web
2017-05,3,20,Web
2017-06,4,21,Web
2017-07,4,25,Web
2017-08,4,24,Web
2017-09,4,21,Web
2017-10,4,23,Web
2017-11,5,21,Web
2017-12,4,20,Web
2018-01,5,21,Web
2018-02,6,22,Web
2018-03,7,22,Web
2018-04,8,21,Web
2018-05,9,21,Web
2018-06,10,23,Web
2018-07,10,26,Web
2018-08,9,27,Web
2018-09,9,24,Web
2018-10,8,26,Web
2018-11,9,21,Web
2018-12,7,21,Web
2019-01,8,22,Web
2019-02,10,23,Web
2019-03,13,25,Web
2019-04,13,24,Web
2019-05,14,23,Web
2019-06,16,27,Web
2019-07,15,29,Web
2019-08,14,30,Web
2019-09,17,25,Web
2019-10,18,28,Web
2019-11,20,24,Web
2019-12,17,23,Web
2020-01,19,25,Web
2020-02,23,26,Web
2020-03,23,18,Web
2020-04,41,10,Web
2020-05,56,21,Web
2020-06,65,28,Web
2020-07,55,29,Web
2020-08,38,29,Web
2020-09,33,27,Web
2020-10,33,28,Web
2020-11,37,25,Web
2020-12,35,23,Web
2021-01,40,27,Web
2021-02,41,25,Web
2021-03,53,29,Web
2021-04,57,29,Web
2021-05,62,27,Web
2021-06,65,28,Web
2021-07,66,34,Web
2021-08,56,32,Web
2021-09,67,30,Web
2021-10,64,31,Web
2021-11,70,28,Web
2021-12,58,25,Web
2022-01,65,28,Web
2022-02,72,32,Web
2022-03,78,29,Web
2022-04,88,28,Web
2022-05,87,27,Web
2022-06,90,30,Web
2022-07,86,34,Web
2022-08,82,35,Web
2022-09,76,29,Web
2022-10,78,32,Web
2022-11,76,26,Web
2022-12,68,25,Web
2023-01,73,29,Web
2023-02,80,28,Web
2023-03,93,30,Web
2023-04,90,29,Web
2023-05,91,28,Web
2023-06,91,32,Web
2023-07,100,33,Web
2023-08,87,32,Web
2023-09,79,32,Web
2023-10,80,29,Web
2023-11,75,27,Web
2023-12,65,27,Web
2024-01,68,28,Web
2024-02,67,29,Web
2024-03,75,30,Web
2024-04,76,28,Web
2024-05,76,27,Web
2024-06,81,30,Web
2024-07,78,30,Web
2024-08,75,30,Web
2024-09,74,28,Web
2024-10,68,26,Web
2024-11,67,25,Web
2024-12,57,25,Web
2025-01,61,28,Web
2025-02,65,28,Web
2025-03,65,30,Web
2025-04,61,28,Web
2008-01,0,2,Image
2008-02,0,3,Image
2008-03,0,3,Image
2008-04,0,2,Image
2008-05,0,3,Image
2008-06,0,2,Image
2008-07,0,3,Image
2008-08,0,3,Image
2008-09,0,3,Image
2008-10,0,4,Image
2008-11,0,3,Image
2008-12,0,2,Image
2009-01,0,4,Image
2009-02,0,4,Image
2009-03,0,3,Image
2009-04,1,4,Image
2009-05,0,3,Image
2009-06,0,3,Image
2009-07,0,3,Image
2009-08,0,5,Image
2009-09,0,2,Image
2009-10,0,4,Image
2009-11,0,3,Image
2009-12,0,2,Image
2010-01,0,3,Image
2010-02,0,3,Image
2010-03,0,4,Image
2010-04,0,4,Image
2010-05,0,3,Image
2010-06,1,3,Image
2010-07,0,3,Image
2010-08,0,3,Image
2010-09,0,3,Image
2010-10,0,4,Image
2010-11,0,3,Image
2010-12,0,3,Image
2011-01,1,4,Image
2011-02,1,4,Image
2011-03,1,4,Image
2011-04,0,4,Image
2011-05,0,4,Image
2011-06,1,4,Image
2011-07,0,5,Image
2011-08,0,5,Image
2011-09,0,4,Image
2011-10,0,6,Image
2011-11,0,5,Image
2011-12,0,5,Image
2012-01,0,5,Image
2012-02,0,5,Image
2012-03,0,5,Image
2012-04,0,5,Image
2012-05,0,5,Image
2012-06,0,6,Image
2012-07,0,6,Image
2012-08,0,6,Image
2012-09,0,7,Image
2012-10,0,9,Image
2012-11,0,9,Image
2012-12,0,16,Image
2013-01,0,30,Image
2013-02,0,48,Image
2013-03,0,47,Image
2013-04,0,37,Image
2013-05,0,28,Image
2013-06,0,17,Image
2013-07,0,13,Image
2013-08,0,12,Image
2013-09,0,12,Image
2013-10,0,12,Image
2013-11,0,10,Image
2013-12,0,9,Image
2014-01,0,9,Image
2014-02,0,9,Image
2014-03,0,8,Image
2014-04,0,8,Image
2014-05,0,8,Image
2014-06,0,7,Image
2014-07,0,8,Image
2014-08,0,8,Image
2014-09,0,7,Image
2014-10,0,9,Image
2014-11,0,7,Image
2014-12,0,6,Image
2015-01,0,6,Image
2015-02,0,6,Image
2015-03,0,6,Image
2015-04,0,6,Image
2015-05,0,6,Image
2015-06,0,7,Image
2015-07,0,6,Image
2015-08,0,7,Image
2015-09,0,7,Image
2015-10,0,9,Image
2015-11,0,6,Image
2015-12,0,6,Image
2016-01,0,7,Image
2016-02,0,7,Image
2016-03,0,7,Image
2016-04,0,7,Image
2016-05,1,6,Image
2016-06,1,6,Image
2016-07,1,6,Image
2016-08,1,8,Image
2016-09,1,7,Image
2016-10,1,7,Image
2016-11,1,6,Image
2016-12,1,5,Image
2017-01,1,6,Image
2017-02,1,7,Image
2017-03,1,7,Image
2017-04,1,7,Image
2017-05,1,7,Image
2017-06,1,8,Image
2017-07,2,8,Image
2017-08,1,8,Image
2017-09,2,8,Image
2017-10,1,9,Image
2017-11,1,8,Image
2017-12,2,7,Image
2018-01,2,8,Image
2018-02,2,9,Image
2018-03,2,9,Image
2018-04,2,8,Image
2018-05,3,8,Image
2018-06,4,8,Image
2018-07,4,9,Image
2018-08,3,9,Image
2018-09,3,9,Image
2018-10,3,8,Image
2018-11,3,8,Image
2018-12,3,7,Image
2019-01,3,9,Image
2019-02,3,7,Image
2019-03,5,8,Image
2019-04,5,8,Image
2019-05,5,8,Image
2019-06,7,9,Image
2019-07,8,10,Image
2019-08,6,9,Image
2019-09,6,9,Image
2019-10,7,8,Image
2019-11,9,8,Image
2019-12,9,7,Image
2020-01,8,8,Image
2020-02,10,10,Image
2020-03,12,7,Image
2020-04,17,6,Image
2020-05,24,6,Image
2020-06,32,9,Image
2020-07,37,11,Image
2020-08,32,11,Image
2020-09,26,10,Image
2020-10,26,10,Image
2020-11,32,8,Image
2020-12,30,8,Image
2021-01,33,10,Image
2021-02,32,9,Image
2021-03,36,8,Image
2021-04,44,9,Image
2021-05,49,9,Image
2021-06,53,10,Image
2021-07,57,11,Image
2021-08,48,10,Image
2021-09,46,10,Image
2021-10,46,10,Image
2021-11,55,9,Image
2021-12,49,9,Image
2022-01,50,11,Image
2022-02,52,11,Image
2022-03,53,11,Image
2022-04,53,11,Image
2022-05,57,10,Image
2022-06,61,10,Image
2022-07,59,13,Image
2022-08,59,13,Image
2022-09,52,10,Image
2022-10,54,12,Image
2022-11,58,11,Image
2022-12,57,9,Image
2023-01,58,10,Image
2023-02,57,11,Image
2023-03,58,10,Image
2023-04,58,10,Image
2023-05,59,10,Image
2023-06,59,10,Image
2023-07,62,12,Image
2023-08,59,12,Image
2023-09,58,11,Image
2023-10,50,11,Image
2023-11,57,9,Image
2023-12,54,10,Image
2024-01,50,12,Image
2024-02,48,11,Image
2024-03,45,9,Image
2024-04,50,10,Image
2024-05,54,10,Image
2024-06,58,12,Image
2024-07,55,11,Image
2024-08,58,12,Image
2024-09,55,0,Image
2024-10,66,0,Image
2024-11,0,0,Image
2024-12,98,0,Image
2025-01,100,0,Image
2025-02,73,0,Image
2025-03,81,0,Image
2025-04,49,14,Image
2008-01,0,0,News
2008-02,0,0,News
2008-03,0,0,News
2008-04,0,0,News
2008-05,0,0,News
2008-06,0,0,News
2008-07,0,0,News
2008-08,0,0,News
2008-09,0,0,News
2008-10,0,0,News
2008-11,0,0,News
2008-12,0,0,News
2009-01,0,0,News
2009-02,0,0,News
2009-03,0,14,News
2009-04,0,0,News
2009-05,0,0,News
2009-06,0,13,News
2009-07,0,0,News
2009-08,0,0,News
2009-09,0,25,News
2009-10,0,0,News
2009-11,0,0,News
2009-12,0,13,News
2010-01,0,0,News
2010-02,0,13,News
2010-03,0,15,News
2010-04,0,0,News
2010-05,0,0,News
2010-06,0,0,News
2010-07,0,0,News
2010-08,0,0,News
2010-09,0,0,News
2010-10,0,0,News
2010-11,0,0,News
2010-12,0,0,News
2011-01,0,0,News
2011-02,0,11,News
2011-03,0,14,News
2011-04,0,12,News
2011-05,0,13,News
2011-06,0,23,News
2011-07,0,11,News
2011-08,0,9,News
2011-09,0,10,News
2011-10,0,0,News
2011-11,0,0,News
2011-12,0,0,News
2012-01,0,10,News
2012-02,0,0,News
2012-03,0,14,News
2012-04,0,17,News
2012-05,0,12,News
2012-06,0,10,News
2012-07,0,0,News
2012-08,0,9,News
2012-09,0,16,News
2012-10,0,16,News
2012-11,0,18,News
2012-12,0,25,News
2013-01,0,36,News
2013-02,0,54,News
2013-03,0,55,News
2013-04,0,42,News
2013-05,0,32,News
2013-06,0,31,News
2013-07,0,22,News
2013-08,0,29,News
2013-09,0,21,News
2013-10,0,33,News
2013-11,0,18,News
2013-12,0,20,News
2014-01,0,23,News
2014-02,0,16,News
2014-03,0,17,News
2014-04,0,17,News
2014-05,0,18,News
2014-06,0,11,News
2014-07,0,19,News
2014-08,0,17,News
2014-09,0,14,News
2014-10,0,13,News
2014-11,0,13,News
2014-12,0,14,News
2015-01,0,13,News
2015-02,0,13,News
2015-03,0,14,News
2015-04,0,12,News
2015-05,0,16,News
2015-06,0,10,News
2015-07,0,11,News
2015-08,0,12,News
2015-09,0,11,News
2015-10,6,14,News
2015-11,0,14,News
2015-12,0,9,News
2016-01,0,12,News
2016-02,0,10,News
2016-03,0,8,News
2016-04,0,12,News
2016-05,0,14,News
2016-06,0,10,News
2016-07,0,8,News
2016-08,0,9,News
2016-09,0,9,News
2016-10,0,8,News
2016-11,0,7,News
2016-12,0,0,News
2017-01,0,10,News
2017-02,0,10,News
2017-03,0,22,News
2017-04,0,18,News
2017-05,0,18,News
2017-06,0,16,News
2017-07,0,19,News
2017-08,0,11,News
2017-09,0,14,News
2017-10,0,19,News
2017-11,0,15,News
2017-12,0,20,News
2018-01,0,14,News
2018-02,0,17,News
2018-03,0,18,News
2018-04,0,14,News
2018-05,0,15,News
2018-06,0,23,News
2018-07,0,11,News
2018-08,0,22,News
2018-09,0,24,News
2018-10,0,15,News
2018-11,0,18,News
2018-12,0,17,News
2019-01,0,18,News
2019-02,0,12,News
2019-03,0,14,News
2019-04,0,23,News
2019-05,0,20,News
2019-06,0,16,News
2019-07,0,17,News
2019-08,0,22,News
2019-09,0,19,News
2019-10,11,20,News
2019-11,0,0,News
2019-12,0,14,News
2020-01,9,19,News
2020-02,0,17,News
2020-03,0,18,News
2020-04,9,17,News
2020-05,20,37,News
2020-06,21,20,News
2020-07,41,16,News
2020-08,23,22,News
2020-09,18,17,News
2020-10,18,16,News
2020-11,13,13,News
2020-12,19,0,News
2021-01,20,17,News
2021-02,19,11,News
2021-03,31,17,News
2021-04,38,25,News
2021-05,43,18,News
2021-06,47,21,News
2021-07,47,23,News
2021-08,52,22,News
2021-09,65,11,News
2021-10,42,26,News
2021-11,58,17,News
2021-12,42,27,News
2022-01,49,15,News
2022-02,51,24,News
2022-03,39,20,News
2022-04,63,29,News
2022-05,64,30,News
2022-06,74,22,News
2022-07,70,20,News
2022-08,100,23,News
2022-09,60,26,News
2022-10,62,16,News
2022-11,56,21,News
2022-12,50,14,News
2023-01,53,14,News
2023-02,53,14,News
2023-03,43,23,News
2023-04,61,21,News
2023-05,59,15,News
2023-06,65,22,News
2023-07,90,22,News
2023-08,50,20,News
2023-09,64,14,News
2023-10,58,0,News
2023-11,76,21,News
2023-12,65,28,News
2024-01,64,24,News
2024-02,69,27,News
2024-03,46,27,News
2024-04,55,31,News
2024-05,56,27,News
2024-06,60,0,News
2024-07,46,11,News
2024-08,45,19,News
2024-09,41,14,News
2024-10,37,15,News
2024-11,36,10,News
2024-12,46,14,News
2025-01,41,15,News
2025-02,84,11,News
2025-03,48,15,News
2025-04,76,9,News
2008-01,0,0,Shopping
2008-02,0,0,Shopping
2008-03,0,0,Shopping
2008-04,0,0,Shopping
2008-05,0,0,Shopping
2008-06,0,0,Shopping
2008-07,0,0,Shopping
2008-08,0,0,Shopping
2008-09,0,0,Shopping
2008-10,0,0,Shopping
2008-11,0,0,Shopping
2008-12,0,0,Shopping
2009-01,0,0,Shopping
2009-02,0,0,Shopping
2009-03,0,0,Shopping
2009-04,0,0,Shopping
2009-05,0,0,Shopping
2009-06,0,0,Shopping
2009-07,0,0,Shopping
2009-08,0,3,Shopping
2009-09,0,0,Shopping
2009-10,0,0,Shopping
2009-11,0,0,Shopping
2009-12,0,0,Shopping
2010-01,0,0,Shopping
2010-02,0,0,Shopping
2010-03,0,0,Shopping
2010-04,0,0,Shopping
2010-05,0,0,Shopping
2010-06,0,3,Shopping
2010-07,0,0,Shopping
2010-08,0,0,Shopping
2010-09,0,0,Shopping
2010-10,0,0,Shopping
2010-11,0,0,Shopping
2010-12,0,0,Shopping
2011-01,0,0,Shopping
2011-02,0,0,Shopping
2011-03,0,0,Shopping
2011-04,0,2,Shopping
2011-05,0,2,Shopping
2011-06,0,3,Shopping
2011-07,0,2,Shopping
2011-08,0,2,Shopping
2011-09,0,1,Shopping
2011-10,0,2,Shopping
2011-11,0,0,Shopping
2011-12,0,1,Shopping
2012-01,0,2,Shopping
2012-02,0,0,Shopping
2012-03,0,0,Shopping
2012-04,0,0,Shopping
2012-05,0,2,Shopping
2012-06,0,2,Shopping
2012-07,0,0,Shopping
2012-08,0,3,Shopping
2012-09,0,3,Shopping
2012-10,0,3,Shopping
2012-11,0,2,Shopping
2012-12,0,2,Shopping
2013-01,0,2,Shopping
2013-02,0,5,Shopping
2013-03,0,5,Shopping
2013-04,0,6,Shopping
2013-05,0,5,Shopping
2013-06,0,5,Shopping
2013-07,0,5,Shopping
2013-08,0,3,Shopping
2013-09,0,3,Shopping
2013-10,0,4,Shopping
2013-11,0,4,Shopping
2013-12,0,3,Shopping
2014-01,0,2,Shopping
2014-02,0,3,Shopping
2014-03,0,4,Shopping
2014-04,0,4,Shopping
2014-05,0,4,Shopping
2014-06,0,6,Shopping
2014-07,0,4,Shopping
2014-08,0,5,Shopping
2014-09,0,5,Shopping
2014-10,0,4,Shopping
2014-11,0,4,Shopping
2014-12,0,3,Shopping
2015-01,0,4,Shopping
2015-02,0,4,Shopping
2015-03,0,5,Shopping
2015-04,0,4,Shopping
2015-05,0,3,Shopping
2015-06,0,4,Shopping
2015-07,0,4,Shopping
2015-08,0,4,Shopping
2015-09,0,4,Shopping
2015-10,0,5,Shopping
2015-11,0,3,Shopping
2015-12,0,2,Shopping
2016-01,0,3,Shopping
2016-02,1,4,Shopping
2016-03,0,5,Shopping
2016-04,0,5,Shopping
2016-05,0,4,Shopping
2016-06,0,3,Shopping
2016-07,0,4,Shopping
2016-08,0,4,Shopping
2016-09,0,6,Shopping
2016-10,1,5,Shopping
2016-11,1,3,Shopping
2016-12,1,3,Shopping
2017-01,1,4,Shopping
2017-02,1,5,Shopping
2017-03,1,5,Shopping
2017-04,1,4,Shopping
2017-05,1,4,Shopping
2017-06,1,4,Shopping
2017-07,1,5,Shopping
2017-08,2,5,Shopping
2017-09,2,5,Shopping
2017-10,2,5,Shopping
2017-11,2,4,Shopping
2017-12,1,4,Shopping
2018-01,2,5,Shopping
2018-02,2,4,Shopping
2018-03,3,5,Shopping
2018-04,3,5,Shopping
2018-05,4,5,Shopping
2018-06,4,6,Shopping
2018-07,4,5,Shopping
2018-08,3,5,Shopping
2018-09,3,6,Shopping
2018-10,4,6,Shopping
2018-11,4,4,Shopping
2018-12,4,4,Shopping
2019-01,5,5,Shopping
2019-02,4,4,Shopping
2019-03,8,5,Shopping
2019-04,7,5,Shopping
2019-05,8,5,Shopping
2019-06,9,5,Shopping
2019-07,10,5,Shopping
2019-08,11,6,Shopping
2019-09,11,5,Shopping
2019-10,12,6,Shopping
2019-11,15,5,Shopping
2019-12,11,4,Shopping
2020-01,14,5,Shopping
2020-02,17,6,Shopping
2020-03,18,4,Shopping
2020-04,22,3,Shopping
2020-05,25,4,Shopping
2020-06,36,5,Shopping
2020-07,38,5,Shopping
2020-08,35,5,Shopping
2020-09,37,5,Shopping
2020-10,41,7,Shopping
2020-11,38,5,Shopping
2020-12,35,4,Shopping
2021-01,42,6,Shopping
2021-02,46,6,Shopping
2021-03,47,7,Shopping
2021-04,56,5,Shopping
2021-05,65,4,Shopping
2021-06,69,5,Shopping
2021-07,74,7,Shopping
2021-08,71,6,Shopping
2021-09,67,7,Shopping
2021-10,65,5,Shopping
2021-11,71,5,Shopping
2021-12,61,5,Shopping
2022-01,75,7,Shopping
2022-02,79,6,Shopping
2022-03,87,6,Shopping
2022-04,83,6,Shopping
2022-05,84,6,Shopping
2022-06,83,6,Shopping
2022-07,88,5,Shopping
2022-08,76,6,Shopping
2022-09,75,6,Shopping
2022-10,74,5,Shopping
2022-11,70,5,Shopping
2022-12,61,5,Shopping
2023-01,78,7,Shopping
2023-02,79,7,Shopping
2023-03,94,6,Shopping
2023-04,100,7,Shopping
2023-05,88,7,Shopping
2023-06,78,6,Shopping
2023-07,76,5,Shopping
2023-08,75,6,Shopping
2023-09,70,5,Shopping
2023-10,77,6,Shopping
2023-11,81,5,Shopping
2023-12,47,6,Shopping
2024-01,41,7,Shopping
2024-02,49,7,Shopping
2024-03,56,7,Shopping
2024-04,64,6,Shopping
2024-05,64,6,Shopping
2024-06,60,7,Shopping
2024-07,64,8,Shopping
2024-08,82,0,Shopping
2024-09,85,0,Shopping
2024-10,60,0,Shopping
2024-11,26,0,Shopping
2024-12,19,0,Shopping
2025-01,15,0,Shopping
2025-02,23,0,Shopping
2025-03,0,0,Shopping
2025-04,7,0,Shopping
2008-01,0,0,Youtube
2008-02,0,0,Youtube
2008-03,0,0,Youtube
2008-04,0,0,Youtube
2008-05,0,0,Youtube
2008-06,0,0,Youtube
2008-07,0,0,Youtube
2008-08,0,0,Youtube
2008-09,0,0,Youtube
2008-10,0,0,Youtube
2008-11,0,0,Youtube
2008-12,0,0,Youtube
2009-01,0,0,Youtube
2009-02,0,0,Youtube
2009-03,0,0,Youtube
2009-04,0,0,Youtube
2009-05,0,0,Youtube
2009-06,0,0,Youtube
2009-07,0,0,Youtube
2009-08,0,3,Youtube
2009-09,0,0,Youtube
2009-10,0,0,Youtube
2009-11,0,0,Youtube
2009-12,0,0,Youtube
2010-01,0,0,Youtube
2010-02,0,0,Youtube
2010-03,0,0,Youtube
2010-04,0,0,Youtube
2010-05,0,0,Youtube
2010-06,0,3,Youtube
2010-07,0,0,Youtube
2010-08,0,0,Youtube
2010-09,0,0,Youtube
2010-10,0,0,Youtube
2010-11,0,0,Youtube
2010-12,0,0,Youtube
2011-01,0,0,Youtube
2011-02,0,0,Youtube
2011-03,0,0,Youtube
2011-04,0,2,Youtube
2011-05,0,2,Youtube
2011-06,0,3,Youtube
2011-07,0,2,Youtube
2011-08,0,2,Youtube
2011-09,0,1,Youtube
2011-10,0,2,Youtube
2011-11,0,0,Youtube
2011-12,0,1,Youtube
2012-01,0,2,Youtube
2012-02,0,0,Youtube
2012-03,0,0,Youtube
2012-04,0,0,Youtube
2012-05,0,2,Youtube
2012-06,0,2,Youtube
2012-07,0,0,Youtube
2012-08,0,3,Youtube
2012-09,0,3,Youtube
2012-10,0,3,Youtube
2012-11,0,2,Youtube
2012-12,0,2,Youtube
2013-01,0,2,Youtube
2013-02,0,5,Youtube
2013-03,0,5,Youtube
2013-04,0,6,Youtube
2013-05,0,5,Youtube
2013-06,0,5,Youtube
2013-07,0,5,Youtube
2013-08,0,3,Youtube
2013-09,0,3,Youtube
2013-10,0,4,Youtube
2013-11,0,4,Youtube
2013-12,0,3,Youtube
2014-01,0,2,Youtube
2014-02,0,3,Youtube
2014-03,0,4,Youtube
2014-04,0,4,Youtube
2014-05,0,4,Youtube
2014-06,0,6,Youtube
2014-07,0,4,Youtube
2014-08,0,5,Youtube
2014-09,0,5,Youtube
2014-10,0,4,Youtube
2014-11,0,4,Youtube
2014-12,0,3,Youtube
2015-01,0,4,Youtube
2015-02,0,4,Youtube
2015-03,0,5,Youtube
2015-04,0,4,Youtube
2015-05,0,3,Youtube
2015-06,0,4,Youtube
2015-07,0,4,Youtube
2015-08,0,4,Youtube
2015-09,0,4,Youtube
2015-10,0,5,Youtube
2015-11,0,3,Youtube
2015-12,0,2,Youtube
2016-01,0,3,Youtube
2016-02,1,4,Youtube
2016-03,0,5,Youtube
2016-04,0,5,Youtube
2016-05,0,4,Youtube
2016-06,0,3,Youtube
2016-07,0,4,Youtube
2016-08,0,4,Youtube
2016-09,0,6,Youtube
2016-10,1,5,Youtube
2016-11,1,3,Youtube
2016-12,1,3,Youtube
2017-01,1,4,Youtube
2017-02,1,5,Youtube
2017-03,1,5,Youtube
2017-04,1,4,Youtube
2017-05,1,4,Youtube
2017-06,1,4,Youtube
2017-07,1,5,Youtube
2017-08,2,5,Youtube
2017-09,2,5,Youtube
2017-10,2,5,Youtube
2017-11,2,4,Youtube
2017-12,1,4,Youtube
2018-01,2,5,Youtube
2018-02,2,4,Youtube
2018-03,3,5,Youtube
2018-04,3,5,Youtube
2018-05,4,5,Youtube
2018-06,4,6,Youtube
2018-07,4,5,Youtube
2018-08,3,5,Youtube
2018-09,3,6,Youtube
2018-10,4,6,Youtube
2018-11,4,4,Youtube
2018-12,4,4,Youtube
2019-01,5,5,Youtube
2019-02,4,4,Youtube
2019-03,8,5,Youtube
2019-04,7,5,Youtube
2019-05,8,5,Youtube
2019-06,9,5,Youtube
2019-07,10,5,Youtube
2019-08,11,6,Youtube
2019-09,11,5,Youtube
2019-10,12,6,Youtube
2019-11,15,5,Youtube
2019-12,11,4,Youtube
2020-01,14,5,Youtube
2020-02,17,6,Youtube
2020-03,18,4,Youtube
2020-04,22,3,Youtube
2020-05,25,4,Youtube
2020-06,36,5,Youtube
2020-07,38,5,Youtube
2020-08,35,5,Youtube
2020-09,37,5,Youtube
2020-10,41,7,Youtube
2020-11,38,5,Youtube
2020-12,35,4,Youtube
2021-01,42,6,Youtube
2021-02,46,6,Youtube
2021-03,47,7,Youtube
2021-04,56,5,Youtube
2021-05,65,4,Youtube
2021-06,69,5,Youtube
2021-07,74,7,Youtube
2021-08,71,6,Youtube
2021-09,67,7,Youtube
2021-10,65,5,Youtube
2021-11,71,5,Youtube
2021-12,61,5,Youtube
2022-01,75,7,Youtube
2022-02,79,6,Youtube
2022-03,87,6,Youtube
2022-04,83,6,Youtube
2022-05,84,6,Youtube
2022-06,83,6,Youtube
2022-07,88,5,Youtube
2022-08,76,6,Youtube
2022-09,75,6,Youtube
2022-10,74,5,Youtube
2022-11,70,5,Youtube
2022-12,61,5,Youtube
2023-01,78,7,Youtube
2023-02,79,7,Youtube
2023-03,94,6,Youtube
2023-04,100,7,Youtube
2023-05,88,7,Youtube
2023-06,78,6,Youtube
2023-07,76,5,Youtube
2023-08,75,6,Youtube
2023-09,70,5,Youtube
2023-10,77,6,Youtube
2023-11,81,5,Youtube
2023-12,47,6,Youtube
2024-01,41,7,Youtube
2024-02,49,7,Youtube
2024-03,56,7,Youtube
2024-04,64,6,Youtube
2024-05,64,6,Youtube
2024-06,60,7,Youtube
2024-07,64,8,Youtube
2024-08,82,0,Youtube
2024-09,85,0,Youtube
2024-10,60,0,Youtube
2024-11,26,0,Youtube
2024-12,19,0,Youtube
2025-01,15,0,Youtube
2025-02,23,0,Youtube
2025-03,0,0,Youtube
2025-04,7,0,Youtube